price,address,beds,baths,parking,type,sold_date
"$740,000","C201/40 Pinnacle Street, 
MIRANDA NSW 2228",2,2,1,Apartment / Unit / Flat,23-Jul-24
"$730,000","BB106/18 University Road, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,23-Jul-24
"$950,000","3/7-15 Jackson Avenue, 
MIRANDA NSW 2228",3,2,2,Apartment / Unit / Flat,22-Jul-24
"$1,550,000","60 Park Street, 
SCONE NSW 2337",5,3,4,House,22-Jul-24
"$1,850,000","19 Gwawley Parade, 
MIRANDA NSW 2228",4,1,2,House,20-Jul-24
"$685,000","5A Main Street, 
SCONE NSW 2337",3,2,1,Townhouse,20-Jul-24
"$740,000","9A/63 Bellingara Road, 
MIRANDA NSW 2228",1,1,1,Villa,19-Jul-24
"$3,725,000","1511 Gundy Road, 
SCONE NSW 2337",NA,NA,NA,Rural,18-Jul-24
"$510,000","17 Boronia Street, 
SCONE NSW 2337",3,1,4,House,18-Jul-24
"$609,000","16 Coolibah Street, 
SCONE NSW 2337",3,1,2,House,17-Jul-24
"$750,000","102/22 Pinnacle Street, 
MIRANDA NSW 2228",2,2,1,Apartment / Unit / Flat,16-Jul-24
"$750,000","35/113 Karimbla Rd, 
MIRANDA NSW 2228",3,1,2,Apartment / Unit / Flat,15-Jul-24
"$950,000","302/42 Pinnacle Street, 
MIRANDA NSW 2228",3,2,2,Apartment / Unit / Flat,12-Jul-24
"$645,000","402/59 Miranda Road, 
MIRANDA NSW 2228",1,1,1,Apartment / Unit / Flat,11-Jul-24
"$300,000","13 Guernsey Street, 
SCONE NSW 2337",NA,NA,1,Vacant land,11-Jul-24
"$765,000","21/22-26 Urunga Parade, 
MIRANDA NSW 2228",2,2,1,Apartment / Unit / Flat,10-Jul-24
"$810,000","9/12-14 Clubb Crescent, 
MIRANDA NSW 2228",2,1,2,Apartment / Unit / Flat,10-Jul-24
"$980,000","12 Kilgallin Close, 
SCONE NSW 2337",5,3,5,House,10-Jul-24
"$835,000","13D/218 Box Road, 
MIRANDA NSW 2228",2,1,1,Villa,9-Jul-24
"$660,000","13a/5-29 Wandella Road, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,8-Jul-24
"$735,000","9/86-88 Karimbla Road, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,6-Jul-24
"$2,090,000","24 Meldrum Avenue, 
MIRANDA NSW 2228",5,4,1,House,5-Jul-24
"$465,000","10 Eveleigh Court, 
SCONE NSW 2337",2,1,2,House,5-Jul-24
"$840,000","24 Cavalry Line Road, 
SCONE NSW 2337",NA,NA,NA,Acreage / Semi-rural,4-Jul-24
"$920,000","11 Northcott Boulevard, 
HAMMONDVILLE NSW 2170",3,2,1,Semi-detached,3-Jul-24
"$226,000","505 Cockatoo Close, 
SCONE NSW 2337",NA,NA,NA,Vacant land,3-Jul-24
"$750,000","23/108 Kiora Road, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,1-Jul-24
"$705,000","6/23-29 Willock Avenue, 
MIRANDA NSW 2228",1,1,1,Apartment / Unit / Flat,1-Jul-24
"$640,000","107/510 Kingsway, 
MIRANDA NSW 2228",1,1,1,Apartment / Unit / Flat,28-Jun-24
"$1,870,000","28 Goodacre Avenue, 
MIRANDA NSW 2228",3,1,3,House,28-Jun-24
"$1,685,000","100 Sylvania Road, 
MIRANDA NSW 2228",3,2,2,House,27-Jun-24
"$700,000","209 Bakewell Circuit, 
SCONE NSW 2337",NA,NA,NA,Vacant land,27-Jun-24
"$1,975,000","28b Ingara Avenue, 
MIRANDA NSW 2228",4,3,2,Semi-detached,26-Jun-24
"$1,245,000","1/8-12 Taylor Close, 
MIRANDA NSW 2228",3,2,2,Townhouse,26-Jun-24
"$942,000","206/5 Gurrier Avenue, 
MIRANDA NSW 2228",2,2,1,Apartment / Unit / Flat,24-Jun-24
"$1,190,000","13 Stewart Avenue, 
HAMMONDVILLE NSW 2170",2,1,2,House,22-Jun-24
"$965,000","4/15-17 Kumbardang Avenue, 
MIRANDA NSW 2228",2,2,1,Townhouse,22-Jun-24
"$2,620,000","53 Garnet Road, 
MIRANDA NSW 2228",6,4,4,House,21-Jun-24
"$1,000,000","2/37 Karimbla Road, 
MIRANDA NSW 2228",2,1,1,Townhouse,21-Jun-24
"$665,000","602/3 Penprase Lane, 
MIRANDA NSW 2228",1,1,1,Apartment / Unit / Flat,21-Jun-24
"$1,830,000","7 Ventura Avenue, 
MIRANDA NSW 2228",3,1,2,House,21-Jun-24
"$1,550,000","127a President Avenue, 
MIRANDA NSW 2228",4,2,4,Semi-detached,20-Jun-24
"$635,000","411/1 Higherdale Avenue, 
MIRANDA NSW 2228",1,1,1,Apartment / Unit / Flat,18-Jun-24
